Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
May 31 2019,Spokane,WA,Passenger,528,421,949,310857,311806,0.30
February 28 2017,Wayne,MI,Passenger,0,2,2,72,74,2.70
September 30 2019,Pend Oreille,WA,Truck,0,0,0,5711,5711,0.00
March 31 2019,Portsmouth,VA,Passenger,0,1,1,76,77,1.30
November 30 2023,Otero,NM,Passenger,0,1,1,22,23,4.35
August 31 2020,Yakima,WA,Truck,0,0,0,60411,60411,0.00
December 31 2018,Washoe,NV,Passenger,2,0,2,116,118,1.69
January 31 2017,Skamania,WA,Passenger,7,7,14,8545,8559,0.16
August 31 2023,Fulton,GA,Passenger,1,1,2,59,61,3.28
September 30 2021,Charleston,SC,Passenger,2,1,3,89,92,3.26
March 31 2022,Norfolk,MA,Passenger,1,0,1,26,27,3.70
October 31 2021,Champaign,IL,Passenger,1,0,1,12,13,7.69
October 31 2018,King,WA,Passenger,15031,6221,21252,1375905,1397157,1.52
July 31 2022,Pend Oreille,WA,Passenger,18,12,30,9027,9057,0.33
September 30 2023,Garfield,WA,Passenger,0,3,3,1296,1299,0.23
June 30 2021,King,WA,Passenger,30484,9166,39650,1367591,1407241,2.82
December 31 2020,Montgomery,TX,Passenger,1,0,1,50,51,1.96
February 28 2018,Manatee,FL,Passenger,1,0,1,38,39,2.56
October 31 2020,Spokane,WA,Truck,0,0,0,100178,100178,0.00
November 30 2021,Lewis,WA,Truck,0,0,0,26708,26708,0.00
January 31 2019,Whatcom,WA,Passenger,779,374,1153,149674,150827,0.76
September 30 2020,Pend Oreille,WA,Passenger,8,4,12,9184,9196,0.13
May 31 2022,Parker,TX,Passenger,0,1,1,22,23,4.35
March 31 2024,Alameda,CA,Passenger,3,2,5,131,136,3.68
January 31 2017,Utah,UT,Passenger,0,1,1,202,203,0.49
September 30 2018,Pacific,WA,Passenger,18,22,40,15722,15762,0.25
August 31 2019,Okanogan,WA,Truck,0,0,0,16475,16475,0.00
February 28 2018,Latah,ID,Passenger,0,1,1,79,80,1.25
July 31 2017,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
October 31 2018,Santa Cruz,CA,Passenger,1,0,1,43,44,2.27
November 30 2023,Houston,GA,Passenger,1,0,1,28,29,3.45
September 30 2022,Essex,NJ,Passenger,2,0,2,12,14,14.29
May 31 2022,Jefferson,NY,Passenger,1,0,1,219,220,0.45
September 30 2020,Cascade,MT,Passenger,0,1,1,59,60,1.67
February 28 2021,Orange,FL,Passenger,1,0,1,117,118,0.85
February 28 2021,Howard,MD,Passenger,0,1,1,71,72,1.39
April 30 2022,Howard,MD,Passenger,0,2,2,68,70,2.86
July 31 2022,Clallam,WA,Passenger,433,246,679,49624,50303,1.35
November 30 2017,Kittitas,WA,Passenger,35,24,59,28266,28325,0.21
February 28 2022,Sacramento,CA,Passenger,1,1,2,236,238,0.84
September 30 2022,Fairbanks North Star,AK,Passenger,0,1,1,73,74,1.35
January 31 2021,Kings,NY,Passenger,1,0,1,66,67,1.49
October 31 2017,Spokane,WA,Passenger,286,238,524,298861,299385,0.18
May 31 2021,Cowlitz,WA,Passenger,218,136,354,72431,72785,0.49
April 30 2017,Dane,WI,Passenger,1,0,1,140,141,0.71
September 30 2022,San Francisco,CA,Passenger,1,0,1,81,82,1.22
April 30 2019,Palm Beach,FL,Passenger,0,2,2,93,95,2.11
July 31 2023,Allen,IN,Passenger,1,0,1,11,12,8.33
August 31 2022,Gwinnett,GA,Passenger,1,0,1,56,57,1.75
June 30 2022,Lewis,WA,Passenger,233,179,412,59676,60088,0.69
December 31 2018,Cowlitz,WA,Passenger,72,94,166,72431,72597,0.23
September 30 2020,Kittitas,WA,Passenger,113,48,161,29699,29860,0.54
January 31 2019,Adams,WA,Passenger,5,6,11,12737,12748,0.09
September 30 2019,Cochise,AZ,Passenger,0,1,1,107,108,0.93
January 31 2019,Harnett,NC,Passenger,1,0,1,228,229,0.44
August 31 2021,Greene,MO,Passenger,0,1,1,34,35,2.86
January 31 2020,Palm Beach,FL,Passenger,0,2,2,87,89,2.25
October 31 2020,Palm Beach,FL,Passenger,0,2,2,78,80,2.50
April 30 2023,Marin,CA,Passenger,1,1,2,30,32,6.25
February 28 2023,Rock Island,IL,Passenger,0,1,1,13,14,7.14
December 31 2021,Lincoln,WA,Passenger,7,16,23,7717,7740,0.30
October 31 2018,Riverside,CA,Passenger,2,2,4,687,691,0.58
November 30 2022,Maui,HI,Passenger,1,0,1,26,27,3.70
November 30 2017,DeKalb,GA,Passenger,1,0,1,87,88,1.14
October 31 2021,Hanover,VA,Passenger,1,0,1,1,2,50.00
September 30 2023,Williamsburg,VA,Passenger,0,1,1,4,5,20.00
May 31 2020,Shelby,OH,Passenger,0,1,1,2,3,33.33
November 30 2020,Missoula,MT,Passenger,1,0,1,68,69,1.45
June 30 2022,Allegheny,PA,Passenger,2,1,3,65,68,4.41
May 31 2020,Suffolk,MA,Passenger,0,2,2,37,39,5.13
October 31 2019,Lee,FL,Passenger,1,0,1,53,54,1.85
June 30 2023,Virginia Beach,VA,Passenger,4,1,5,441,446,1.12
April 30 2024,Platte,MO,Passenger,2,0,2,17,19,10.53
November 30 2021,Placer,CA,Passenger,2,0,2,77,79,2.53
November 30 2019,Cochise,AZ,Passenger,0,1,1,104,105,0.95
August 31 2021,Garfield,WA,Passenger,0,3,3,1364,1367,0.22
February 28 2023,Douglas,WA,Truck,6,0,6,12878,12884,0.05
July 31 2021,Montgomery,OH,Passenger,0,1,1,55,56,1.79
April 30 2023,Eau Claire,WI,Passenger,1,0,1,1,2,50.00
February 28 2021,Santa Cruz,CA,Passenger,1,0,1,35,36,2.78
September 30 2020,Palm Beach,FL,Passenger,0,2,2,81,83,2.41
July 31 2022,Plaquemines,LA,Passenger,1,1,2,19,21,9.52
March 31 2024,Kitsap,WA,Passenger,4202,1574,5776,172303,178079,3.24
February 28 2018,Cowlitz,WA,Truck,0,0,0,28181,28181,0.00
December 31 2022,Prince William,VA,Passenger,1,2,3,190,193,1.55
January 31 2021,Harris,TX,Passenger,1,1,2,246,248,0.81
March 31 2020,Vigo,IN,Passenger,1,0,1,5,6,16.67
May 31 2020,Middlesex,MA,Passenger,1,0,1,98,99,1.01
December 31 2023,Spokane,WA,Truck,62,0,62,101276,101338,0.06
October 31 2021,Alameda,CA,Passenger,5,0,5,229,234,2.14
March 31 2021,Suffolk,MA,Passenger,0,2,2,34,36,5.56
March 31 2019,Penobscot,ME,Passenger,0,1,1,14,15,6.67
May 31 2017,St. Lucie,FL,Passenger,1,0,1,32,33,3.03
November 30 2021,Clark,WA,Truck,0,0,0,84025,84025,0.00
November 30 2019,Walla Walla,WA,Passenger,64,61,125,36272,36397,0.34
March 31 2018,Franklin,MA,Passenger,0,1,1,2,3,33.33
November 30 2021,Leavenworth,KS,Passenger,0,1,1,105,106,0.94
February 28 2022,Stafford,VA,Passenger,2,1,3,98,101,2.97
June 30 2023,Champaign,IL,Passenger,1,0,1,12,13,7.69
January 31 2024,Rockingham,NH,Passenger,1,0,1,7,8,12.50
November 30 2022,Owyhee,ID,Passenger,1,0,1,3,4,25.00
January 31 2024,Allen,IN,Passenger,1,0,1,11,12,8.33
March 31 2017,Clallam,WA,Passenger,77,65,142,48076,48218,0.29
February 28 2019,Anne Arundel,MD,Passenger,0,1,1,444,445,0.22
July 31 2020,Asotin,WA,Passenger,16,12,28,12371,12399,0.23
February 28 2017,San Diego,CA,Passenger,4,1,5,2819,2824,0.18
June 30 2023,Lewis,WA,Truck,7,0,7,26023,26030,0.03
May 31 2022,Washtenaw,MI,Passenger,0,1,1,28,29,3.45
June 30 2019,Penobscot,ME,Passenger,0,1,1,13,14,7.14
February 28 2023,Grant,WA,Passenger,242,114,356,66858,67214,0.53
August 31 2021,Douglas,WA,Passenger,104,51,155,28571,28726,0.54
May 31 2019,Klickitat,WA,Passenger,35,33,68,15547,15615,0.44
December 31 2020,Monterey,CA,Passenger,0,2,2,165,167,1.20
April 30 2018,Clay,FL,Passenger,0,1,1,101,102,0.98
December 31 2020,New York,NY,Passenger,2,0,2,59,61,3.28
March 31 2023,Fairfax,VA,Truck,1,0,1,96,97,1.03
September 30 2019,Thurston,WA,Passenger,953,670,1623,198472,200095,0.81
December 31 2023,Clallam,WA,Truck,29,0,29,21515,21544,0.13
December 31 2017,Kittitas,WA,Truck,0,0,0,13806,13806,0.00
December 31 2019,District of Columbia,DC,Passenger,1,1,2,208,210,0.95
March 31 2022,Duval,FL,Passenger,0,2,2,307,309,0.65
February 29 2024,Monterey,CA,Truck,1,0,1,27,28,3.57
December 31 2022,Los Angeles,CA,Passenger,4,6,10,760,770,1.30
January 31 2021,Honolulu,HI,Passenger,5,2,7,453,460,1.52
July 31 2021,Champaign,IL,Passenger,1,0,1,12,13,7.69
May 31 2023,St. Lawrence,NY,Passenger,1,0,1,2,3,33.33
June 30 2018,Cowlitz,WA,Passenger,55,74,129,71729,71858,0.18
January 31 2020,Lewis,WA,Truck,0,0,0,26098,26098,0.00
November 30 2021,Anchorage,AK,Passenger,2,0,2,139,141,1.42
October 31 2022,Essex,MA,Passenger,1,0,1,16,17,5.88
July 31 2020,Los Angeles,CA,Passenger,6,12,18,1031,1049,1.72
July 31 2018,Monterey,CA,Passenger,0,1,1,185,186,0.54
June 30 2022,Escambia,FL,Passenger,0,1,1,145,146,0.68
October 31 2022,Fairfax,VA,Passenger,7,3,10,625,635,1.57
December 31 2018,Prince William,VA,Passenger,0,5,5,255,260,1.92
June 30 2021,San Francisco,CA,Passenger,0,1,1,98,99,1.01
April 30 2024,Mercer,NJ,Passenger,0,1,1,7,8,12.50
September 30 2022,King,WA,Truck,241,2,243,179490,179733,0.14
August 31 2020,Utah,UT,Passenger,0,1,1,135,136,0.74
April 30 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
March 31 2020,Stevens,WA,Passenger,34,33,67,31245,31312,0.21
June 30 2017,New London,CT,Passenger,1,0,1,248,249,0.40
July 31 2023,Wahkiakum,WA,Passenger,26,17,43,3017,3060,1.41
December 31 2017,Whatcom,WA,Truck,1,0,1,42017,42018,0.00
January 31 2023,St. Clair,IL,Passenger,1,0,1,110,111,0.90
February 28 2019,Mason,WA,Truck,0,0,0,20219,20219,0.00
November 30 2022,Pinal,AZ,Passenger,0,1,1,115,116,0.86
July 31 2023,Providence,RI,Passenger,1,0,1,17,18,5.56
March 31 2024,Lewis,WA,Passenger,428,334,762,57709,58471,1.30
October 31 2018,Virginia Beach,VA,Passenger,2,1,3,692,695,0.43
January 31 2023,San Bernardino,CA,Passenger,3,1,4,327,331,1.21
April 30 2019,Whitman,WA,Truck,0,0,0,8517,8517,0.00
December 31 2018,Pend Oreille,WA,Truck,0,0,0,5741,5741,0.00
October 31 2019,Columbia,WA,Truck,0,0,0,1533,1533,0.00
October 31 2023,St. Louis,MN,Passenger,0,1,1,5,6,16.67
February 28 2023,Hennepin,MN,Passenger,1,0,1,44,45,2.22
November 30 2023,Dallas,TX,Passenger,1,0,1,70,71,1.41
October 31 2020,Wilson,TX,Passenger,0,1,1,6,7,14.29
June 30 2022,Clackamas,OR,Passenger,2,0,2,152,154,1.30
January 31 2022,Harnett,NC,Passenger,1,1,2,161,163,1.23
May 31 2023,Onslow,NC,Passenger,0,1,1,148,149,0.67
January 31 2021,Howard,MD,Passenger,0,1,1,72,73,1.37
February 28 2019,Albemarle,VA,Passenger,1,0,1,25,26,3.85
June 30 2018,Adams,WA,Passenger,5,5,10,12612,12622,0.08
March 31 2018,Anne Arundel,MD,Passenger,0,1,1,469,470,0.21
November 30 2021,Honolulu,HI,Passenger,4,3,7,403,410,1.71
May 31 2020,Williamson,TX,Passenger,0,2,2,143,145,1.38
September 30 2018,Montgomery,PA,Passenger,2,0,2,36,38,5.26
January 31 2022,Flathead,MT,Passenger,1,0,1,47,48,2.08
October 31 2017,Allegheny,PA,Passenger,1,0,1,91,92,1.09
December 31 2023,Boulder,CO,Passenger,1,0,1,23,24,4.17
December 31 2019,Thurston,WA,Truck,0,0,0,55716,55716,0.00
May 31 2023,Cumberland,NC,Passenger,1,4,5,320,325,1.54
December 31 2017,Saratoga,NY,Passenger,1,1,2,69,71,2.82
May 31 2022,Pima,AZ,Passenger,1,0,1,255,256,0.39
October 31 2018,Ada,ID,Passenger,0,2,2,326,328,0.61
November 30 2022,Newport,RI,Passenger,0,1,1,63,64,1.56
May 31 2020,Juneau,AK,Passenger,0,2,2,29,31,6.45
December 31 2020,Eagle,CO,Passenger,1,0,1,7,8,12.50
August 31 2023,Kittitas,WA,Truck,10,0,10,14631,14641,0.07
April 30 2024,Whatcom,WA,Truck,101,0,101,41100,41201,0.25
November 30 2019,DuPage,IL,Passenger,3,0,3,66,69,4.35
March 31 2023,Shasta,CA,Passenger,1,0,1,26,27,3.70
August 31 2017,Jefferson,WA,Passenger,112,64,176,23955,24131,0.73
October 31 2019,Klickitat,WA,Truck,0,0,0,8309,8309,0.00
September 30 2020,Kitsap,WA,Truck,0,0,0,54164,54164,0.00
September 30 2018,Kootenai,ID,Passenger,0,2,2,217,219,0.91
September 30 2023,Suffolk,VA,Passenger,1,0,1,97,98,1.02
March 31 2020,Riverside,CA,Passenger,3,1,4,651,655,0.61
October 31 2023,Alameda,CA,Passenger,4,2,6,153,159,3.77
September 30 2020,Allegheny,PA,Passenger,2,0,2,79,81,2.47
May 31 2023,Houston,GA,Passenger,1,0,1,30,31,3.23
January 31 2021,Pennington,SD,Passenger,1,0,1,35,36,2.78
March 31 2019,New London,CT,Passenger,0,1,1,245,246,0.41
November 30 2022,Autauga,AL,Passenger,2,0,2,14,16,12.50
November 30 2023,Garfield,WA,Truck,0,0,0,978,978,0.00
April 30 2018,Benton,WA,Truck,0,0,0,40854,40854,0.00
August 31 2022,Grays Harbor,WA,Truck,2,0,2,21192,21194,0.01
September 30 2017,Kitsap,WA,Passenger,654,346,1000,174291,175291,0.57
June 30 2021,Pacific,WA,Passenger,45,53,98,16042,16140,0.61
September 30 2023,District of Columbia,DC,Passenger,3,0,3,145,148,2.03
February 28 2018,Marin,CA,Passenger,1,0,1,55,56,1.79
January 31 2017,Guilford,NC,Passenger,1,0,1,35,36,2.78
May 31 2023,Lincoln,OR,Passenger,0,1,1,15,16,6.25
December 31 2019,Lake,IL,Passenger,1,0,1,171,172,0.58
February 28 2022,Benton,WA,Truck,0,0,0,43632,43632,0.00
January 31 2019,Lewis,WA,Truck,0,0,0,25661,25661,0.00
January 31 2021,San Joaquin,CA,Passenger,1,0,1,114,115,0.87
December 31 2019,Camden,NJ,Passenger,0,2,2,21,23,8.70
January 31 2018,Jefferson,NY,Passenger,1,0,1,229,230,0.43
May 31 2023,Walla Walla,WA,Truck,5,0,5,13767,13772,0.04
January 31 2024,Yuba,CA,Passenger,1,0,1,44,45,2.22
April 30 2021,Boone,MO,Passenger,0,1,1,11,12,8.33
June 30 2020,Spokane,WA,Passenger,729,486,1215,315323,316538,0.38
January 31 2020,Snohomish,WA,Truck,0,0,0,123621,123621,0.00
March 31 2020,Portsmouth,VA,Passenger,0,1,1,75,76,1.32
August 31 2019,Lee,FL,Passenger,1,0,1,51,52,1.92
July 31 2017,San Juan,WA,Truck,0,0,0,5546,5546,0.00
February 28 2023,Ferry,WA,Truck,0,0,0,3572,3572,0.00
January 31 2021,Missoula,MT,Passenger,1,0,1,69,70,1.43
July 31 2019,Rogers,OK,Passenger,1,0,1,6,7,14.29
February 28 2023,Orange,NC,Passenger,0,1,1,6,7,14.29
December 31 2023,Cache,UT,Passenger,1,0,1,9,10,10.00
July 31 2017,Multnomah,OR,Passenger,1,3,4,957,961,0.42
February 28 2018,Asotin,WA,Truck,0,0,0,6579,6579,0.00
September 30 2023,Placer,CA,Passenger,1,0,1,61,62,1.61
February 28 2022,Allegheny,PA,Passenger,2,1,3,67,70,4.29
October 31 2023,Lincoln,OR,Passenger,0,1,1,14,15,6.67
March 31 2022,Walla Walla,WA,Passenger,157,90,247,36096,36343,0.68
March 31 2023,Franklin,WA,Passenger,285,130,415,61861,62276,0.67
October 31 2021,Arlington,VA,Passenger,1,1,2,136,138,1.45
June 30 2018,Dallas,TX,Passenger,0,1,1,199,200,0.50
October 31 2021,Montgomery,OH,Passenger,0,1,1,54,55,1.82
May 31 2018,Carroll,NH,Passenger,0,1,1,1,2,50.00
May 31 2020,Hamilton,IN,Passenger,1,0,1,42,43,2.33
October 31 2022,Snohomish,WA,Truck,76,0,76,122812,122888,0.06
September 30 2022,El Paso,TX,Passenger,3,0,3,337,340,0.88
February 29 2024,Portsmouth,VA,Passenger,0,1,1,59,60,1.67
June 30 2019,New Haven,CT,Passenger,0,2,2,47,49,4.08
August 31 2017,Fairfax,VA,Passenger,3,2,5,841,846,0.59
November 30 2019,Chesapeake,VA,Passenger,0,1,1,449,450,0.22
May 31 2017,Allegheny,PA,Passenger,1,0,1,93,94,1.06
May 31 2019,Polk,FL,Passenger,1,0,1,72,73,1.37
November 30 2022,Marin,CA,Passenger,1,1,2,31,33,6.06
February 28 2022,Frederick,MD,Passenger,1,1,2,70,72,2.78
July 31 2019,Jefferson,CO,Passenger,0,2,2,55,57,3.51
December 31 2021,Lincoln,WA,Truck,0,0,0,4820,4820,0.00
January 31 2024,Texas,MO,Passenger,1,0,1,1,2,50.00
July 31 2020,Klickitat,WA,Passenger,56,43,99,15108,15207,0.65
January 31 2020,San Diego,CA,Passenger,11,4,15,2779,2794,0.54
January 31 2023,Asotin,WA,Truck,0,0,0,6665,6665,0.00
July 31 2023,Orange,FL,Passenger,1,0,1,58,59,1.69
August 31 2022,Hamilton,OH,Passenger,1,0,1,34,35,2.86
December 31 2023,Collin,TX,Passenger,2,0,2,39,41,4.88
April 30 2021,Suffolk,MA,Passenger,0,2,2,34,36,5.56
March 31 2022,Moore,NC,Passenger,0,1,1,124,125,0.80
January 31 2022,San Mateo,CA,Passenger,2,0,2,87,89,2.25
May 31 2021,Norfolk,VA,Passenger,2,3,5,331,336,1.49
February 28 2021,Goochland,VA,Passenger,4,3,7,254,261,2.68
October 31 2018,Dakota,MN,Passenger,0,2,2,33,35,5.71
April 30 2023,St. Lawrence,NY,Passenger,1,0,1,2,3,33.33
January 31 2021,Adams,WA,Passenger,10,6,16,12965,12981,0.12
October 31 2023,Honolulu,HI,Passenger,4,3,7,253,260,2.69
March 31 2020,Santa Cruz,CA,Passenger,1,0,1,41,42,2.38
October 31 2020,Fresno,CA,Passenger,1,0,1,194,195,0.51
January 31 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
December 31 2020,Powhatan,VA,Passenger,1,0,1,2,3,33.33
January 31 2020,Chelan,WA,Truck,0,0,0,22568,22568,0.00
October 31 2021,Chelan,WA,Truck,0,0,0,23063,23063,0.00
August 31 2020,Skagit,WA,Truck,1,0,1,32627,32628,0.00
April 30 2018,Benton,WA,Passenger,178,188,366,130928,131294,0.28
December 31 2023,San Joaquin,CA,Passenger,1,0,1,63,64,1.56
October 31 2018,Stevens,WA,Truck,0,0,0,18715,18715,0.00
November 30 2017,Okaloosa,FL,Passenger,1,0,1,188,189,0.53
February 28 2023,Kern,CA,Passenger,1,1,2,198,200,1.00
November 30 2017,Sacramento,CA,Passenger,1,1,2,332,334,0.60
February 28 2023,Contra Costa,CA,Passenger,0,3,3,197,200,1.50
July 31 2022,Lee,FL,Passenger,1,0,1,35,36,2.78
January 31 2023,Dallas,TX,Passenger,1,0,1,97,98,1.02
February 28 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
July 31 2018,Clark,WA,Truck,0,0,0,79230,79230,0.00
December 31 2021,Stevens,WA,Truck,0,0,0,18922,18922,0.00
October 31 2021,Spokane,WA,Passenger,1217,727,1944,326202,328146,0.59
December 31 2018,Houston,GA,Passenger,1,0,1,52,53,1.89
September 30 2017,Monterey,CA,Passenger,0,2,2,196,198,1.01
April 30 2023,Cochise,AZ,Passenger,1,0,1,65,66,1.52
February 28 2023,New York,NY,Passenger,1,0,1,36,37,2.70
July 31 2022,Autauga,AL,Passenger,1,0,1,13,14,7.14
September 30 2023,Lincoln,WA,Truck,0,0,0,4825,4825,0.00
July 31 2019,Walla Walla,WA,Truck,0,0,0,13616,13616,0.00
June 30 2017,Pend Oreille,WA,Truck,0,0,0,5575,5575,0.00
May 31 2019,Jefferson,CO,Passenger,0,2,2,56,58,3.45
February 28 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
April 30 2019,Caddo,LA,Passenger,0,1,1,25,26,3.85
July 31 2019,Sedgwick,KS,Passenger,1,1,2,102,104,1.92
October 31 2017,Franklin,WA,Truck,0,0,0,18320,18320,0.00
October 31 2022,Parker,TX,Passenger,0,1,1,20,21,4.76
November 30 2019,Wahkiakum,WA,Truck,0,0,0,1751,1751,0.00
September 30 2022,Bell,TX,Passenger,1,0,1,320,321,0.31
August 31 2021,Sumter,SC,Passenger,0,1,1,35,36,2.78
September 30 2021,Currituck,NC,Passenger,1,0,1,24,25,4.00
August 31 2021,Clark,WA,Truck,0,0,0,84136,84136,0.00
June 30 2021,San Mateo,CA,Passenger,1,0,1,110,111,0.90
April 30 2020,Santa Cruz,CA,Passenger,1,0,1,41,42,2.38
August 31 2021,San Francisco,CA,Passenger,0,1,1,97,98,1.02
June 30 2021,Ulster,NY,Passenger,1,0,1,13,14,7.14
January 31 2022,Whatcom,WA,Passenger,1666,673,2339,149393,151732,1.54
September 30 2023,Thurston,WA,Truck,71,0,71,53785,53856,0.13
August 31 2018,Whitman,WA,Truck,0,0,0,8509,8509,0.00
February 28 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
February 29 2024,Pima,AZ,Passenger,1,0,1,154,155,0.65
February 29 2024,DuPage,IL,Passenger,2,1,3,27,30,10.00
January 31 2021,Morris,NJ,Passenger,1,0,1,15,16,6.25
February 28 2019,Howard,MD,Passenger,0,1,1,87,88,1.14
March 31 2022,Parker,TX,Passenger,0,1,1,22,23,4.35
October 31 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
February 28 2022,Shelby,OH,Passenger,0,1,1,3,4,25.00
February 28 2022,Island,WA,Truck,1,0,1,21444,21445,0.00
October 31 2018,Lincoln,WA,Passenger,2,6,8,7741,7749,0.10
January 31 2024,Placer,CA,Passenger,1,0,1,54,55,1.82
April 30 2017,Spokane,WA,Passenger,236,208,444,295706,296150,0.15
February 28 2021,Columbia,WA,Passenger,5,4,9,2452,2461,0.37
February 28 2019,San Mateo,CA,Passenger,2,1,3,131,134,2.24
September 30 2022,Sacramento,CA,Passenger,2,1,3,221,224,1.34
July 31 2022,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
July 31 2022,Pennington,SD,Passenger,2,0,2,28,30,6.67
August 31 2017,Eagle,CO,Passenger,1,0,1,7,8,12.50
February 29 2020,Shelby,OH,Passenger,0,1,1,2,3,33.33
August 31 2020,Skagit,WA,Passenger,432,222,654,91219,91873,0.71
December 31 2019,Benton,WA,Passenger,314,308,622,135200,135822,0.46
November 30 2021,King,WA,Truck,6,1,7,183231,183238,0.00
May 31 2023,Harris,TX,Passenger,1,1,2,150,152,1.32
March 31 2022,St. Clair,IL,Passenger,1,0,1,126,127,0.79
March 31 2024,Kings,CA,Passenger,2,1,3,243,246,1.22
November 30 2021,Polk,FL,Passenger,1,0,1,65,66,1.52
November 30 2020,Washoe,NV,Passenger,1,0,1,109,110,0.91
January 31 2020,Whitman,WA,Truck,0,0,0,8566,8566,0.00
January 31 2018,Kent,MI,Passenger,0,1,1,35,36,2.78
July 31 2021,Milwaukee,WI,Passenger,1,0,1,43,44,2.27
June 30 2022,Honolulu,HI,Passenger,4,4,8,375,383,2.09
January 31 2023,Middlesex,MA,Passenger,2,0,2,81,83,2.41
July 31 2022,Calvert,MD,Passenger,0,2,2,80,82,2.44
May 31 2018,Dale,AL,Passenger,0,1,1,57,58,1.72
August 31 2021,Stevens,WA,Passenger,49,44,93,30258,30351,0.31
January 31 2022,Franklin,WA,Truck,0,0,0,20876,20876,0.00
July 31 2022,Lake,IL,Passenger,2,0,2,139,141,1.42
May 31 2018,Pima,AZ,Passenger,1,1,2,434,436,0.46
June 30 2022,Okaloosa,FL,Passenger,0,1,1,108,109,0.92
January 31 2023,Hillsborough,FL,Passenger,1,2,3,121,124,2.42
March 31 2024,Brown,WI,Passenger,1,0,1,5,6,16.67
August 31 2023,Sheridan,WY,Passenger,1,0,1,4,5,20.00
August 31 2020,Spokane,WA,Truck,1,0,1,99421,99422,0.00
January 31 2024,Orange,CA,Passenger,6,2,8,260,268,2.99
September 30 2017,Lincoln,WA,Truck,0,0,0,4472,4472,0.00
November 30 2023,Sedgwick,KS,Passenger,1,0,1,46,47,2.13
August 31 2019,Powhatan,VA,Passenger,1,0,1,1,2,50.00
July 31 2018,Ferry,WA,Passenger,3,3,6,4424,4430,0.14
June 30 2022,Nassau,NY,Passenger,3,0,3,33,36,8.33
September 30 2017,King,WA,Truck,7,1,8,186332,186340,0.00
August 31 2018,Ferry,WA,Passenger,2,2,4,4420,4424,0.09
May 31 2023,Anne Arundel,MD,Passenger,4,3,7,302,309,2.27
August 31 2022,Marion,IA,Passenger,1,0,1,0,1,100.00
November 30 2023,Lewis,WA,Passenger,388,293,681,59418,60099,1.13
July 31 2019,Montgomery,MD,Passenger,1,0,1,280,281,0.36
June 30 2017,Howard,MD,Passenger,0,2,2,95,97,2.06
October 31 2021,Grays Harbor,WA,Truck,0,0,0,21389,21389,0.00
January 31 2019,Adams,WA,Truck,0,0,0,5140,5140,0.00
February 28 2023,Lewis,WA,Truck,4,0,4,26190,26194,0.02
December 31 2020,Nassau,NY,Passenger,4,0,4,33,37,10.81
October 31 2022,New Haven,CT,Passenger,0,2,2,31,33,6.06
December 31 2018,Bexar,TX,Passenger,3,4,7,719,726,0.96
March 31 2020,Skagit,WA,Truck,1,0,1,32546,32547,0.00
January 31 2017,Douglas,WA,Truck,0,0,0,11426,11426,0.00
November 30 2023,El Paso,TX,Passenger,3,0,3,260,263,1.14
August 31 2018,Franklin,WA,Truck,0,0,0,18790,18790,0.00
April 30 2022,Wahkiakum,WA,Truck,0,0,0,1815,1815,0.00
February 29 2024,Dallas,TX,Passenger,1,0,1,61,62,1.61
June 30 2020,Williams,ND,Passenger,0,1,1,11,12,8.33
June 30 2021,Carson City,NV,Passenger,1,0,1,11,12,8.33
